"Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy","Accuracy","AIC","Converged"
0.61,0.695,0.666666666666667,0.640552995391705,0.666666666666667,0.61,0.637075718015666,0.5,0.305,0.4575,0.6525,0.6525,556.881606173172,1
0.685,0.67,0.67487684729064,0.680203045685279,0.67487684729064,0.685,0.679900744416873,0.5,0.3425,0.5075,0.6775,0.6775,583.441849392289,1
0.615,0.685,0.661290322580645,0.64018691588785,0.661290322580645,0.615,0.637305699481865,0.5,0.3075,0.465,0.65,0.65,571.269713132841,1
0.6,0.69,0.659340659340659,0.63302752293578,0.659340659340659,0.6,0.628272251308901,0.5,0.3,0.455,0.645,0.645,584.795829610548,1
0.675,0.67,0.671641791044776,0.673366834170854,0.671641791044776,0.675,0.673316708229426,0.5,0.3375,0.5025,0.6725,0.6725,575.015112271149,1
0.585,0.635,0.615789473684211,0.604761904761905,0.615789473684211,0.585,0.6,0.5,0.2925,0.475,0.61,0.61,594.131928726184,1
0.67,0.69,0.683673469387755,0.676470588235294,0.683673469387755,0.67,0.676767676767677,0.5,0.335,0.49,0.68,0.68,553.965219206418,1
0.615,0.725,0.691011235955056,0.653153153153153,0.691011235955056,0.615,0.650793650793651,0.5,0.3075,0.445,0.67,0.67,558.269094412619,1
0.65,0.68,0.670103092783505,0.660194174757282,0.670103092783505,0.65,0.65989847715736,0.5,0.325,0.485,0.665,0.665,569.513010470534,1
0.64,0.715,0.691891891891892,0.665116279069767,0.691891891891892,0.64,0.664935064935065,0.5,0.32,0.4625,0.6775,0.6775,559.350656745037,1
0.68,0.695,0.690355329949239,0.684729064039409,0.690355329949239,0.68,0.685138539042821,0.5,0.34,0.4925,0.6875,0.6875,564.544198724089,1
0.615,0.68,0.657754010695187,0.63849765258216,0.657754010695187,0.615,0.635658914728682,0.5,0.3075,0.4675,0.6475,0.6475,591.476908132518,1
0.65,0.64,0.643564356435644,0.646464646464647,0.643564356435644,0.65,0.646766169154229,0.5,0.325,0.505,0.645,0.645,585.227639774108,1
0.76,0.735,0.741463414634146,0.753846153846154,0.741463414634146,0.76,0.750617283950617,0.5,0.38,0.5125,0.7475,0.7475,539.708442008278,1
0.685,0.72,0.709844559585492,0.695652173913043,0.709844559585492,0.685,0.697201017811705,0.5,0.3425,0.4825,0.7025,0.7025,553.305282938163,1
0.635,0.675,0.661458333333333,0.649038461538462,0.661458333333333,0.635,0.647959183673469,0.5,0.3175,0.48,0.655,0.655,588.153499386812,1
0.63,0.69,0.670212765957447,0.650943396226415,0.670212765957447,0.63,0.649484536082474,0.5,0.315,0.47,0.66,0.66,585.320935875503,1
0.65,0.695,0.680628272251309,0.665071770334928,0.680628272251309,0.65,0.664961636828645,0.5,0.325,0.4775,0.6725,0.6725,557.871181074788,1
0.57,0.665,0.629834254143646,0.607305936073059,0.629834254143646,0.57,0.598425196850394,0.5,0.285,0.4525,0.6175,0.6175,586.176673930828,1
0.67,0.685,0.680203045685279,0.67487684729064,0.680203045685279,0.67,0.675062972292191,0.5,0.335,0.4925,0.6775,0.6775,570.773247519862,1
0.675,0.68,0.678391959798995,0.676616915422886,0.678391959798995,0.675,0.676691729323308,0.5,0.3375,0.4975,0.6775,0.6775,565.118134766871,1
0.655,0.68,0.671794871794872,0.663414634146342,0.671794871794872,0.655,0.663291139240506,0.5,0.3275,0.4875,0.6675,0.6675,574.288741174148,1
0.67,0.72,0.705263157894737,0.685714285714286,0.705263157894737,0.67,0.687179487179487,0.5,0.335,0.475,0.695,0.695,549.567264503689,1
0.75,0.675,0.697674418604651,0.72972972972973,0.697674418604651,0.75,0.72289156626506,0.5,0.375,0.5375,0.7125,0.7125,556.32396719908,1
0.62,0.63,0.626262626262626,0.623762376237624,0.626262626262626,0.62,0.623115577889447,0.5,0.31,0.495,0.625,0.625,581.528450571428,1
0.67,0.695,0.687179487179487,0.678048780487805,0.687179487179487,0.67,0.678481012658228,0.5,0.335,0.4875,0.6825,0.6825,571.858839827819,1
0.615,0.665,0.647368421052632,0.633333333333333,0.647368421052632,0.615,0.630769230769231,0.5,0.3075,0.475,0.64,0.64,584.263738885744,1
0.655,0.695,0.682291666666667,0.668269230769231,0.682291666666667,0.655,0.668367346938775,0.5,0.3275,0.48,0.675,0.675,574.32112372309,1
0.65,0.68,0.670103092783505,0.660194174757282,0.670103092783505,0.65,0.65989847715736,0.5,0.325,0.485,0.665,0.665,560.570142031317,1
0.635,0.68,0.664921465968586,0.650717703349282,0.664921465968586,0.635,0.649616368286445,0.5,0.3175,0.4775,0.6575,0.6575,586.030715345085,1
0.655,0.65,0.651741293532338,0.653266331658292,0.651741293532338,0.655,0.653366583541147,0.5,0.3275,0.5025,0.6525,0.6525,580.331871182718,1
0.68,0.665,0.669950738916256,0.6751269035533,0.669950738916256,0.68,0.674937965260546,0.5,0.34,0.5075,0.6725,0.6725,566.892726088451,1
0.655,0.71,0.693121693121693,0.672985781990521,0.693121693121693,0.655,0.673521850899743,0.5,0.3275,0.4725,0.6825,0.6825,562.673230770097,1
0.635,0.695,0.675531914893617,0.65566037735849,0.675531914893617,0.635,0.654639175257732,0.5,0.3175,0.47,0.665,0.665,553.023298711424,1
